epoch,step,train_loss,valid_acc,valid_loss
0,49,1.6881155967712402,,
0,99,0.9624811410903931,,
0,149,0.5474356412887573,,
0,199,0.39319267868995667,,
0,249,0.33834952116012573,,
0,299,0.3218082785606384,,
0,349,0.5051778554916382,,
0,399,0.29550260305404663,,
0,449,0.3386394679546356,,
0,499,0.3847167491912842,,
0,549,0.4217383861541748,,
0,599,0.2611565589904785,,
0,649,0.24993786215782166,,
0,699,0.21132558584213257,,
0,749,0.22049252688884735,,
0,799,0.20873883366584778,,
0,849,0.34381723403930664,,
0,859,,0.9081595540046692,0.2985934913158417
1,899,0.33711719512939453,,
1,949,0.22542519867420197,,
1,999,0.1765713095664978,,
1,1049,0.3571885824203491,,
1,1099,0.08779876679182053,,
1,1149,0.29605770111083984,,
1,1199,0.17719778418540955,,
1,1249,0.15375469624996185,,
1,1299,0.10024382174015045,,
1,1349,0.1716795414686203,,
1,1399,0.11077319085597992,,
1,1449,0.5173446536064148,,
1,1499,0.10930724442005157,,
1,1549,0.34454286098480225,,
1,1599,0.18540897965431213,,
1,1649,0.18538163602352142,,
1,1699,0.21472710371017456,,
1,1719,,0.922921359539032,0.24071530997753143
2,1749,0.30989980697631836,,
2,1799,0.22373053431510925,,
2,1849,0.19278255105018616,,
2,1899,0.24487705528736115,,
2,1949,0.17691662907600403,,
2,1999,0.3205232620239258,,
2,2049,0.24047565460205078,,
2,2099,0.3294665217399597,,
2,2149,0.26951780915260315,,
2,2199,0.13635580241680145,,
2,2249,0.15378433465957642,,
2,2299,0.16922935843467712,,
2,2349,0.21590393781661987,,
2,2399,0.12377916276454926,,
2,2449,0.21132953464984894,,
2,2499,0.11556969583034515,,
2,2549,0.19390395283699036,,
2,2579,,0.9345677495002747,0.2137223333120346
3,2599,0.11702539026737213,,
3,2649,0.10339508950710297,,
3,2699,0.13898879289627075,,
3,2749,0.13591846823692322,,
3,2799,0.24891498684883118,,
3,2849,0.1780703216791153,,
3,2899,0.13484293222427368,,
3,2949,0.17471306025981903,,
3,2999,0.08380472660064697,,
3,3049,0.08043063431978226,,
3,3099,0.146875262260437,,
3,3149,0.043972842395305634,,
3,3199,0.25852543115615845,,
3,3249,0.09412117302417755,,
3,3299,0.17206043004989624,,
3,3349,0.11753915250301361,,
3,3399,0.18260794878005981,,
3,3439,,0.9381918907165527,0.1966855525970459
4,3449,0.17922617495059967,,
4,3499,0.10975316166877747,,
4,3549,0.11470256745815277,,
4,3599,0.17855048179626465,,
4,3649,0.1524396389722824,,
4,3699,0.23004548251628876,,
4,3749,0.1657061129808426,,
4,3799,0.1027507558465004,,
4,3849,0.12100169062614441,,
4,3899,0.1362089067697525,,
4,3949,0.2994796931743622,,
4,3999,0.27974820137023926,,
4,4049,0.1322592794895172,,
4,4099,0.05490533262491226,,
4,4149,0.04981328919529915,,
4,4199,0.14326274394989014,,
4,4249,0.15267525613307953,,
4,4299,0.35154691338539124,,
4,4299,,0.9422363042831421,0.18543213605880737
5,4349,0.20660105347633362,,
5,4399,0.2607548236846924,,
5,4449,0.10196150839328766,,
5,4499,0.10524286329746246,,
5,4549,0.16217532753944397,,
5,4599,0.06670331954956055,,
5,4649,0.166285902261734,,
5,4699,0.20514190196990967,,
5,4749,0.08676777780056,,
5,4799,0.12272365391254425,,
5,4849,0.22675774991512299,,
5,4899,0.1126914694905281,,
5,4949,0.06926888227462769,,
5,4999,0.08158674091100693,,
5,5049,0.07568730413913727,,
5,5099,0.09119607508182526,,
5,5149,0.15540525317192078,,
5,5159,,0.9435750842094421,0.1788678616285324
6,5199,0.15873976051807404,,
6,5249,0.11210060119628906,,
6,5299,0.07947392016649246,,
6,5349,0.14829209446907043,,
6,5399,0.0706184059381485,,
6,5449,0.14421576261520386,,
6,5499,0.09252829104661942,,
6,5549,0.10629187524318695,,
6,5599,0.051689792424440384,,
6,5649,0.0931033119559288,,
6,5699,0.09717322885990143,,
6,5749,0.4041958749294281,,
6,5799,0.04205675423145294,,
6,5849,0.17291638255119324,,
6,5899,0.06312877684831619,,
6,5949,0.033863332122564316,,
6,5999,0.09554091840982437,,
6,6019,,0.9444730281829834,0.17315271496772766
7,6049,0.16080214083194733,,
7,6099,0.13764506578445435,,
7,6149,0.14821986854076385,,
7,6199,0.16488534212112427,,
7,6249,0.07746915519237518,,
7,6299,0.2124253213405609,,
7,6349,0.16229689121246338,,
7,6399,0.12676793336868286,,
7,6449,0.17498275637626648,,
7,6499,0.08167162537574768,,
7,6549,0.07243102043867111,,
7,6599,0.1071675568819046,,
7,6649,0.12065223604440689,,
7,6699,0.06271014362573624,,
7,6749,0.0833933874964714,,
7,6799,0.04672408476471901,,
7,6849,0.1221066266298294,,
7,6879,,0.9458275437355042,0.170320525765419
8,6899,0.07822524756193161,,
8,6949,0.035976000130176544,,
8,6999,0.06011814996600151,,
8,7049,0.07338674366474152,,
8,7099,0.17309674620628357,,
8,7149,0.09917815774679184,,
8,7199,0.07072482258081436,,
8,7249,0.04781906306743622,,
8,7299,0.036538295447826385,,
8,7349,0.06441674381494522,,
8,7399,0.04939610883593559,,
8,7449,0.02330157905817032,,
8,7499,0.12876123189926147,,
8,7549,0.046802133321762085,,
8,7599,0.0976409986615181,,
8,7649,0.03740274906158447,,
8,7699,0.0785163938999176,,
8,7739,,0.9474114179611206,0.16804589331150055
9,7749,0.09352931380271912,,
9,7799,0.05691036954522133,,
9,7849,0.08924718201160431,,
9,7899,0.14383924007415771,,
9,7949,0.0747855082154274,,
9,7999,0.20641392469406128,,
9,8049,0.0769236609339714,,
9,8099,0.04924175143241882,,
9,8149,0.10429203510284424,,
9,8199,0.11115984618663788,,
9,8249,0.22955143451690674,,
9,8299,0.2684725522994995,,
9,8349,0.08063215017318726,,
9,8399,0.026583530008792877,,
9,8449,0.029518973082304,,
9,8499,0.1361844688653946,,
9,8549,0.0855923444032669,,
9,8599,0.25594744086265564,,
9,8599,,0.9506346583366394,0.1666177362203598
